Name,Street,City,State,Zip,Phone,Website,Type,Awards,Campus_setting,Campus_housing,Student_population,Student_to_faculty_ratio
Albizu University-San Juan, 151 Tanca St  Corner San Francisco St  Old San Juan, San Juan, Puerto Rico,00902-3711,(787) 725-6500,http://nces.ed.gov/transfer.asp?sec=true&location=www.albizu.edu/,"4-year, Private not-for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship",City: Large,No,"2,344 (661 undergraduate)",18 to 1
Alice Lloyd College,100 Purpose Rd, Pippa Passes, Kentucky,41844,(606) 368-6000,http://nces.ed.gov/transfer.asp?location=www.alc.edu/,"4-year, Private not-for-profit",Bachelors degree,Rural: Remote,Yes,569 (all undergraduate),21 to 1
Alaska Career College,1415 E Tudor Road, Anchorage, Alaska,99507-1033,(907) 563-7575,http://nces.ed.gov/transfer.asp?location=www.alaskacareercollege.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree",City: Large,No,412 (all undergraduate),16 to 1
Albright College,1621 N. 13th St., Reading, Pennsylvania,19612-5234,(610) 921-2381,http://nces.ed.gov/transfer.asp?location=www.albright.edu/home/,"4-year, Private not-for-profit","One but less than two years certificate, Two but less than 4 years certificate, Bachelors degree, Postbaccalaureate certificate, Masters degree",City: Small,Yes,"1,584 (1,539 undergraduate)",12 to 1
All Beauty College,2350 Miracle Mile Rd Unit 316, Bullhead City, Arizona,86442,(928) 763-3900,http://nces.ed.gov/transfer.asp?location=abcollege.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Town: Remote,No,11 (all undergraduate),11 to 1
Alcorn State University,1000 ASU Dr Ste 359, Alcorn State, Mississippi,39096-7500,(601) 877-6100,http://nces.ed.gov/transfer.asp?location=www.alcorn.edu/,"4-year, Public","Associates degree, Bachelors degree, Masters degree, Post-masters certificate, Doctors degree - professional practice",Rural: Remote,Yes,"3,230 (2,729 undergraduate)",16 to 1
All Beauty College,2425 Hualapai Mtn Rd Ste B, Kingman, Arizona,86401-2561,(928) 692-8800,http://nces.ed.gov/transfer.asp?location=abcollege.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Town: Remote,No,28 (all undergraduate),20 to 1
Alaska Christian College,35109 Royal Place, Soldotna, Alaska,99669,(907) 260-7422,http://nces.ed.gov/transfer.asp?location=www.alaskacc.edu/,"2-year, Private not-for-profit",Associates degree,Rural: Fringe,Yes,93 (all undergraduate),5 to 1
Alder Graduate School of Education,2946 Broadway, Redwood City, California,94062,(650) 362-3997,http://nces.ed.gov/transfer.asp?sec=true&location=aldergse.edu/,"4-year, Private not-for-profit",Masters degree,City: Small,No,195 (0 undergraduate),
All Beauty College,1761 McCulloch Blvd. Unit A, Lake Havasu City, Arizona,86403-2974,(928) 453-1212,http://nces.ed.gov/transfer.asp?location=abcollege.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,8 (all undergraduate),8 to 1
Alderson Broaddus University,101 College Hill Drive, Philippi, West Virginia,26416-2035,(304) 457-1700,http://nces.ed.gov/transfer.asp?location=ab.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Masters degree",Town: Distant,Yes,863 (766 undergraduate),14 to 1
Alaska Pacific University,4101 University Dr, Anchorage, Alaska,99508,(907) 561-1266,http://nces.ed.gov/transfer.asp?location=www.alaskapacific.edu/,"4-year, Private not-for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Doctors degree - professional practice",City: Large,Yes,493 (312 undergraduate),8 to 1
Allan Hancock College,800 South College Drive, Santa Maria, California,93454-6399,(805) 922-6966,http://nces.ed.gov/transfer.asp?location=www.hancockcollege.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Two but less than 4 years certificate",City: Midsize,No,"10,248 (all undergraduate)",22 to 1
Alexander Academy,55 Massachusetts Avenue, Lunenburg, Massachusetts,01462-0000,(978) 345-0011,http://nces.ed.gov/transfer.asp?location=www.alexanderacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Midsize,No,48 (all undergraduate),6 to 1
Alaska Vocational Technical Center,PO Box 889, Seward, Alaska,99664-0889,(907) 224-3322,http://nces.ed.gov/transfer.asp?location=www.avtec.edu/,"< 2-year, Public","Less than one year certificate, One but less than two years certificate",Rural: Remote,Yes,185 (all undergraduate),12 to 1
Allegany College of Maryland,12401 Willowbrook Rd SE, Cumberland, Maryland,21502-2596,(301) 784-5000,http://nces.ed.gov/transfer.asp?location=www.allegany.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",City: Small,Yes,"2,523 (all undergraduate)",11 to 1
Alexander Paul Institute of Hair Design,1011 Charles Blvd Ste A, Greenville, North Carolina,27858-3344,(252) 830-5536 x2,http://nces.ed.gov/transfer.asp?sec=true&location=www.alexanderpaul.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,46 (all undergraduate),12 to 1
Albany BOCES-Adult Practical Nursing Program,900  Watervliet Shaker Rd, Albany, New York,12205,(518) 862-4800,http://nces.ed.gov/transfer.asp?sec=true&location=www.capitalregionboces.org/adult-education/classes-programs/,"< 2-year, Public",One but less than two years certificate,Suburb: Large,No,161 (all undergraduate),35 to 1
Allegheny College,520 N Main St, Meadville, Pennsylvania,16335-3902,(814) 332-3100,http://nces.ed.gov/transfer.asp?sec=true&location=allegheny.edu/,"4-year, Private not-for-profit",Bachelors degree,Town: Distant,Yes,"1,667 (all undergraduate)",9 to 1
Alexandria School of Scientific Therapeutics,809 S Harrison St, Alexandria, Indiana,46001-0287,(765) 724-9152,http://nces.ed.gov/transfer.asp?location=www.assti.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Small,Yes,17 (all undergraduate),17 to 1
Allegheny Wesleyan College,2161 Woodsdale Rd, Salem, Ohio,44460-9598,(330) 337-6403 x170,http://nces.ed.gov/transfer.asp?location=awc.edu/,"4-year, Private not-for-profit","Less than one year certificate, Associates degree, Bachelors degree",Rural: Fringe,Yes,67 (all undergraduate),8 to 1
Alexandria Technical & Community College,1601 Jefferson Streeet, Alexandria, Minnesota,56308,(320) 762-0221,http://nces.ed.gov/transfer.asp?location=www.alextech.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Two but less than 4 years certificate",Town: Remote,No,"2,549 (all undergraduate)",20 to 1
Allegiance Beauty School, 7525 Tidewater Drive  Suite 200, Norfolk, Virginia,23505,(757) 934-0656,http://nces.ed.gov/transfer.asp?location=absbeautyschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,12 (all undergraduate),6 to 1
Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue, Albany, New York,12208-3492,(518) 694-7200,http://nces.ed.gov/transfer.asp?location=www.acphs.edu/,"4-year, Private not-for-profit","Bachelors degree, Masters degree, Doctors degree - professional practice",City: Small,Yes,"1,118 (686 undergraduate)",7 to 1
Albany Law School,80 New Scotland Avenue, Albany, New York,12208,(518) 445-2311,http://nces.ed.gov/transfer.asp?location=www.albanylaw.edu/,"4-year, Private not-for-profit","Postbaccalaureate certificate, Masters degree, Doctors degree - professional practice",City: Small,No,566 (0 undergraduate),
Alfred University,One Saxon Drive, Alfred, New York,14802-1205,(607) 871-2111,http://nces.ed.gov/transfer.asp?location=www.alfred.edu/,"4-year, Private not-for-profit","Bachelors degree, Masters degree, Post-masters certificate, Doctors degree - research/scholarship",Town: Remote,Yes,"2,187 (1,593 undergraduate)",11 to 1
Allen College,1990 Heath St, Waterloo, Iowa,50703-1999,(319) 226-2000,http://nces.ed.gov/transfer.asp?location=www.allencollege.edu/,"4-year, Private not-for-profit","One but less than two years certificate, Associates degree, Bachelors degree, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - other",City: Small,No,678 (374 undergraduate),11 to 1
Allen County Community College,1801 N Cottonwood, Iola, Kansas,66749,(620) 365-5116 x100,http://nces.ed.gov/transfer.asp?sec=true&location=www.allencc.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Town: Remote,Yes,"2,113 (all undergraduate)",20 to 1
Alhambra Beauty College,200 W Main St, Alhambra, California,91801,(626) 282-7765,http://nces.ed.gov/transfer.asp?location=alhambrabeauty.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,46 (all undergraduate),20 to 1
Albany Medical College,47 New Scotland Ave, Albany, New York,12208-3479,(518) 262-3125,http://nces.ed.gov/transfer.asp?location=www.amc.edu/,"4-year, Private not-for-profit","Masters degree, Doctors degree - research/scholarship, Doctors degree - professional practice, Doctors degree - other",City: Small,No,835 (0 undergraduate),
Allen School-Brooklyn,188 Montague Street, Brooklyn, New York,11201,(718) 243-1700,http://nces.ed.gov/transfer.asp?location=www.allenschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,184 (all undergraduate),19 to 1
Alhambra Medical University,2215 W. Mission Road, Alhambra, California,91803,(626) 289-7719,http://nces.ed.gov/transfer.asp?location=www.amu.edu/,"4-year, Private for-profit",Masters degree,Suburb: Large,No,154 (54 undergraduate),15 to 1
Albany State University,504 College Drive, Albany, Georgia,31705,(229) 500-3500,http://nces.ed.gov/transfer.asp?sec=true&location=www.asurams.edu/,"4-year, Public","One but less than two years certificate, Associates degree, Bachelors degree, Masters degree, Post-masters certificate",City: Small,Yes,"6,509 (6,102 undergraduate)",19 to 1
Allen School-Jamaica,163-18 Jamaica Avenue, Jamaica, New York,11432,(718) 291-2200,http://nces.ed.gov/transfer.asp?location=www.allenschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,91 (all undergraduate),17 to 1
Allgood Beauty Institute,9741 Preston Road Suite 106, Frisco, Texas,75033-4112,(469) 252-1747,http://nces.ed.gov/transfer.asp?location=allgoodbeauty.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,16 (all undergraduate),16 to 1
Allen School-Phoenix, 15650 North Black Canyon Highway  B210, Phoenix, Arizona,85053-4064,(623) 385-8150,http://nces.ed.gov/transfer.asp?location=www.allenschool.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,24 (all undergraduate),17 to 1
Alliance Career Center,500 Glamorgan St., Alliance, Ohio,44601,(330) 821-2102,http://nces.ed.gov/transfer.asp?location=www.accrtw.org/,"< 2-year, Public","Less than one year certificate, One but less than two years certificate",Town: Fringe,No,50 (all undergraduate),8 to 1
Albany Technical College,1704 South Slappey Boulevard, Albany, Georgia,31701,(229) 430-3500,http://nces.ed.gov/transfer.asp?location=www.albanytech.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Two but less than 4 years certificate",City: Small,No,"3,022 (all undergraduate)",14 to 1
Alliance Computing Solutions, 3660 Main Street  4th Floor, Flushing, New York,11354-6507,(718) 661-9771,http://nces.ed.gov/transfer.asp?location=www.acs.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,7 (all undergraduate),12 to 1
Albert Einstein College of Medicine,1300 Morris Park Avenue, Bronx, New York,10461-1900,(718) 430-2000,http://nces.ed.gov/transfer.asp?location=www.einsteinmed.org/,"4-year, Private not-for-profit","Postbaccalaureate certificate, Masters degree, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Large,Yes,"1,048 (0 undergraduate)",
Allen University,1530 Harden Street, Columbia, South Carolina,29204,(803) 376-5700 x5893,http://nces.ed.gov/transfer.asp?location=www.allenuniversity.edu/,"4-year, Private not-for-profit","Bachelors degree, Masters degree",City: Midsize,Yes,705 (656 undergraduate),15 to 1
Alliant International University-San Diego,10455 Pomerado Road, San Diego, California,92131,(858) 635-4000,http://nces.ed.gov/transfer.asp?sec=true&location=www.alliant.edu/,"4-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Large,No,"3,429 (431 undergraduate)",6 to 1
Altura College, 1256 Southeast Bishop Boulevard  Suite L, Pullman, Washington,99163-5842,(509) 334-3444,http://nces.ed.gov/transfer.asp?location=www.alturacollege.com/,"< 2-year, Private for-profit",Less than one year certificate,Town: Distant,No,3 (all undergraduate),3 to 1
Allied Health Careers Institute,1237 Commerce Park, Murfreesboro, Tennessee,37130-5996,(615) 396-8733,http://nces.ed.gov/transfer.asp?location=www.ahci.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,78 (all undergraduate),10 to 1
American Advanced Technicians Institute,6801 W 20th St, Hialeah, Florida,33014,(305) 362-5519,http://nces.ed.gov/transfer.asp?location=www.aati.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,30 (all undergraduate),10 to 1
All-State Career School,50 West Powhattan Avenue, Essington, Pennsylvania,19029,(610) 362-1124,http://nces.ed.gov/transfer.asp?location=www.allstatecareer.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Two but less than 4 years certificate",Suburb: Large,No,834 (all undergraduate),23 to 1
Alvernia University,400 Saint Bernardine St, Reading, Pennsylvania,19607-1799,(610) 796-8200,http://nces.ed.gov/transfer.asp?sec=true&location=www.alvernia.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Masters degree, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Small,Yes,"2,560 (2,045 undergraduate)",14 to 1
American Baptist College,1800 Baptist World Ctr Dr, Nashville, Tennessee,37207-9980,(615) 256-1463,http://nces.ed.gov/transfer.asp?location=www.abcnash.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree",City: Large,Yes,55 (all undergraduate),7 to 1
All-State Career School-Pittsburgh,1200 Lebanon Road, West Mifflin, Pennsylvania,15122,(412) 823-1818,http://nces.ed.gov/transfer.asp?location=www.allstatecareer.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,388 (all undergraduate),17 to 1
Alverno College,3400 S 43rd  St, Milwaukee, Wisconsin,53234-3922,(414) 382-6000,http://nces.ed.gov/transfer.asp?sec=true&location=www.alverno.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - professional practice",City: Large,Yes,"1,876 (1,099 undergraduate)",10 to 1
American Barber and Beauty Academy,733 Lancaster Avenue, Reading, Pennsylvania,19607-1602,(610) 927-5664,http://nces.ed.gov/transfer.asp?location=americanbarberacademy.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,80 (all undergraduate),27 to 1
All-State Career-Baltimore,2200 Broening Hwy Ste 160, Baltimore, Maryland,21224,(410) 631-1818,http://nces.ed.gov/transfer.asp?sec=true&location=www.allstatecareer.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,525 (all undergraduate),21 to 1
Alvin Community College,3110 Mustang Rd, Alvin, Texas,77511-4898,(281) 756-3500,http://nces.ed.gov/transfer.asp?location=www.alvincollege.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Two but less than 4 years certificate",Suburb: Large,No,"5,737 (all undergraduate)",12 to 1
American Beauty Academy,87 W 600 S, Payson, Utah,84651,(801) 465-1650,http://nces.ed.gov/transfer.asp?location=www.americanbeauty.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,35 (all undergraduate),3 to 1
Allstate Hairstyling & Barber College,2546 Lorain Avenue, Cleveland, Ohio,44113-3413,(216) 241-6684,http://nces.ed.gov/transfer.asp?location=www.allstatehairstyling.com/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Two but less than 4 years certificate",City: Large,No,30 (all undergraduate),10 to 1
Amarillo College,2011 S. Washington, Amarillo, Texas,79109,(806) 371-5000,http://nces.ed.gov/transfer.asp?location=www.actx.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",City: Midsize,No,"9,079 (all undergraduate)",19 to 1
Alma College,614 W Superior, Alma, Michigan,48801-1599,(989) 463-7111,http://nces.ed.gov/transfer.asp?location=alma.edu/,"4-year, Private not-for-profit",Bachelors degree,Town: Distant,Yes,"1,435 (all undergraduate)",13 to 1
American Beauty Academy-West Valley Campus,3695 S Redwood Rd, West Valley City, Utah,84119,(801) 281-6708,http://nces.ed.gov/transfer.asp?location=americanbeautyutah.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,37 (all undergraduate),3 to 1
Amberton University,1700 Eastgate Dr, Garland, Texas,75041-5595,(972) 279-6511,http://nces.ed.gov/transfer.asp?location=www.amberton.edu/,"4-year, Private not-for-profit","Bachelors degree, Masters degree",Suburb: Large,No,"1,103 (186 undergraduate)",20 to 1
Alpena Community College,665 Johnson St, Alpena, Michigan,49707,(989) 356-9021,http://nces.ed.gov/transfer.asp?location=www.alpenacc.edu/,"4-year, primarily associate's, Public","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree",Rural: Fringe,Yes,"1,436 (all undergraduate)",13 to 1
Ambria College of Nursing,5210 Trillium Blvd, Hoffman Estates, Illinois,60192,(847) 397-0300 x2271,http://nces.ed.gov/transfer.asp?location=ambria.edu/,"4-year, primarily associate's, Private for-profit","One but less than two years certificate, Associates degree, Bachelors degree",City: Small,No,229 (all undergraduate),8 to 1
American Beauty College,652 S. Sunset Ave, West Covina, California,91790,(626) 472-7402,http://nces.ed.gov/transfer.asp?sec=true&location=www.americanbeautycollege.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,114 (all undergraduate),25 to 1
Altierus Career College-Bissonnet,9700 Bissonnet St-Ste 1400, Houston, Texas,77036-8001,(713) 772-4200,http://nces.ed.gov/transfer.asp?sec=true&location=www.altierus.edu/,"2-year, Private not-for-profit","One but less than two years certificate, Associates degree",City: Large,No,628 (all undergraduate),37 to 1
America Evangelical University,1204 W 163rd St, Gardena, California,90247-4432,(323) 643-0301,http://nces.ed.gov/transfer.asp?location=www.aeu.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Masters degree, Doctors degree - research/scholarship",City: Large,Yes,165 (65 undergraduate),6 to 1
American Beauty School,1380 Metropolitan Avenue, Bronx, New York,10462,(718) 931-7400,http://nces.ed.gov/transfer.asp?location=www.americanbeautyschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,158 (all undergraduate),20 to 1
Altierus Career College-Norcross,1750 Beaver Ruin Rd-Ste 500, Norcross, Georgia,30093-2813,(770) 921-1085,http://nces.ed.gov/transfer.asp?sec=true&location=www.altierus.edu/,"2-year, Private not-for-profit","One but less than two years certificate, Associates degree",Suburb: Large,No,684 (all undergraduate),29 to 1
American Academy McAllister Institute of Funeral Service, 1501 Broadway  11th Floor  Suite 1102, New York, New York,10036,(212) 757-1190,http://nces.ed.gov/transfer.asp?location=www.funeraleducation.org/,"2-year, Private not-for-profit",Associates degree,City: Large,No,463 (all undergraduate),22 to 1
American Beauty Schools,8100 Southwest 8th Street, Miami, Florida,33144-0000,(786) 558-9608,http://nces.ed.gov/transfer.asp?location=www.americanbeautyschools.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,37 (all undergraduate),16 to 1
Altierus Career College-Tampa,3319 W Hillsborough Ave, Tampa, Florida,33614-5801,(813) 879-6000,http://nces.ed.gov/transfer.asp?sec=true&location=www.altierus.edu/,"2-year, Private not-for-profit","One but less than two years certificate, Associates degree",City: Large,No,397 (all undergraduate),21 to 1
American Academy of Art College,332 S Michigan Ave, Chicago, Illinois,60604-4302,(312) 461-0600,http://nces.ed.gov/transfer.asp?sec=true&location=www.aaart.edu/,"4-year, Private not-for-profit",Bachelors degree,City: Large,No,169 (all undergraduate),7 to 1
American Business and Technology University,1018 W St Maartens Dr, St Joseph, Missouri,64506,(816) 279-7000,http://nces.ed.gov/transfer.asp?sec=true&location=abtu.edu/,"4-year, primarily associate's, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree, Masters degree",City: Small,No,353 (342 undergraduate),14 to 1
Altoona Beauty School Inc,1528 Valley View Blvd., Altoona, Pennsylvania,16602-6039,(814) 942-3141,http://nces.ed.gov/transfer.asp?location=www.altoonabeautyschool.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,50 (all undergraduate),10 to 1
American Academy of Cosmetology,1330 Blanding Blvd Ste 125, Orange Park, Florida,32065,(904) 213-1444,http://nces.ed.gov/transfer.asp?location=www.aacschool.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,134 (all undergraduate),13 to 1
American Career College-Anaheim,1200 N. Magnolia Ave., Anaheim, California,92801-0000,(949) 783-4800,http://nces.ed.gov/transfer.asp?sec=true&location=americancareercollege.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree",City: Large,No,"1,274 (all undergraduate)",39 to 1
American Academy of Dramatic Arts-Los Angeles,1336 North La Brea Avenue, Los Angeles, California,90028,(323) 464-2777 x109,http://nces.ed.gov/transfer.asp?location=www.aada.edu/,"2-year, Private not-for-profit","One but less than two years certificate, Associates degree",City: Large,Yes,106 (all undergraduate),8 to 1
American College of Financial Services,630 Allendale Rd, King of Prussia, Pennsylvania,19406,(610) 526-1000,http://nces.ed.gov/transfer.asp?sec=true&location=www.theamericancollege.edu/,"4-year, Private not-for-profit","Less than one year certificate, Postbaccalaureate certificate, Masters degree, Doctors degree - research/scholarship",Suburb: Large,No,"5,723 (5,233 undergraduate)",60 to 1
American Career College-Los Angeles,4021 Rosewood Avenue, Los Angeles, California,90004,(949) 783-4800,http://nces.ed.gov/transfer.asp?sec=true&location=americancareercollege.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree",City: Large,No,"1,751 (all undergraduate)",45 to 1
American Academy of Dramatic Arts-New York,120 Madison Ave, New York, New York,10016,(212) 686-9244,http://nces.ed.gov/transfer.asp?location=www.aada.edu/,"2-year, Private not-for-profit","One but less than two years certificate, Associates degree",City: Large,Yes,159 (all undergraduate),8 to 1
American College of Hair Design Inc,125 Winchester Drive, Sedalia, Missouri,65301,(660) 827-3295 x2,http://nces.ed.gov/transfer.asp?location=www.americancollegeofhairdesign.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Town: Remote,No,27 (all undergraduate),7 to 1
American Career College-Ontario,3130 East Sedona Court, Ontario, California,91764,(949) 783-4800,http://nces.ed.gov/transfer.asp?sec=true&location=americancareercollege.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree",City: Midsize,No,"1,435 (all undergraduate)",46 to 1
American Academy of Health and Beauty,981 Second Street, Manchester, New Hampshire,03102-5263,(603) 625-6100,http://nces.ed.gov/transfer.asp?sec=true&location=myaahb.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,34 (all undergraduate),6 to 1
American Academy of Health and Wellness, 2233 Hamline Ave N  Suite 432, Roseville, Minnesota,55113,(651) 493-3622,http://nces.ed.gov/transfer.asp?location=www.aaaom.edu/,"4-year, Private for-profit","Masters degree, Doctors degree - professional practice",Suburb: Large,No,43 (0 undergraduate),
American College of Acupuncture and Oriental Med,9100 Park  West Drive, Houston, Texas,77063-4104,(713) 780-9777,http://nces.ed.gov/transfer.asp?location=www.acaom.edu/,"4-year, Private for-profit","Masters degree, Doctors degree - professional practice",City: Large,No,123 (0 undergraduate),
American College of Healthcare and Technology,6330 Pacific Blvd Ste 201, Huntington Park, California,90255,(323) 585-9000,http://nces.ed.gov/transfer.asp?location=www.ach.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,184 (all undergraduate),31 to 1
American College of Healthcare and Technology, 11801 Pierce St.  Suite 100, Riverside, California,92505,(951) 729-5320,http://nces.ed.gov/transfer.asp?location=www.ach.edu/,"2-year, Private for-profit","One but less than two years certificate, Two but less than 4 years certificate",City: Large,No,351 (all undergraduate),31 to 1
American College of Barbering,11320 North Preston Highway, Louisville, Kentucky,40229-2862,(502) 968-4858,http://nces.ed.gov/transfer.asp?location=www.americancollegeofbarbering.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,78 (all undergraduate),20 to 1
American Institute of Healthcare & Technology,480 Lordship Boulevard, Stratford, Connecticut,06615-7149,(203) 870-8400,http://nces.ed.gov/transfer.asp?sec=true&location=www.aiht.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Two but less than 4 years certificate",Suburb: Large,No,106 (all undergraduate),10 to 1
American College of Healthcare Sciences,5005 S. Macadam Ave, Portland, Oregon,97239,(503) 244-0726,http://nces.ed.gov/transfer.asp?location=www.achs.edu/,"4-year, primarily associate's, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree",City: Large,No,856 (602 undergraduate),19 to 1
American College of Education, 101 West Ohio Street  Suite 1200, Indianapolis, Indiana,46204,(800) 280-0307,http://nces.ed.gov/transfer.asp?location=www.ace.edu/,"4-year, Private for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship",City: Large,No,"8,112 (85 undergraduate)",10 to 1
American College of the Building Arts,649 Meeting Street, Charleston, South Carolina,29403-4223,(843) 577-5245,http://nces.ed.gov/transfer.asp?location=acba.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree",City: Midsize,No,93 (all undergraduate),6 to 1
American Institute of Interior Design, 15169 N. Scottsdale Rd.  Suite 205, Scottsdale, Arizona,85254,(480) 946-9601,http://nces.ed.gov/transfer.asp?sec=true&location=www.aiid.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,35 (all undergraduate),15 to 1
American Institute of Massage Therapy, 1516 Brookhollow Drive  Unit C, Santa Ana, California,92705-5401,(714) 432-7879,http://nces.ed.gov/transfer.asp?location=www.aimtinc.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,39 (all undergraduate),10 to 1
American Medical Academy,12215 SW 112 Street, Miami, Florida,33186-4830,(305) 271-6555,http://nces.ed.gov/transfer.asp?location=www.ama.edu/,"4-year, primarily associate's, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree",Suburb: Large,No,527 (all undergraduate),6 to 1
American Conservatory Theater,415 Geary Street, San Francisco, California,94102,(415) 834-3200 x2400,http://nces.ed.gov/transfer.asp?location=www.act-sf.org/,"4-year, Private not-for-profit","Less than one year certificate, Two but less than 4 years certificate, Masters degree",City: Large,No,30 (7 undergraduate),6 to 1
American Medical Institute Inc.,6902 Cook Rd, Houston, Texas,77099,(713) 772-5300,http://nces.ed.gov/transfer.asp?sec=true&location=amiinc.net/online-cna.html,"< 2-year, Private not-for-profit",Less than one year certificate,City: Large,No,25 (all undergraduate),2 to 1
American Institute of Medical Sciences & Education,4500 New Brunswick Ave, Piscataway, New Jersey,08854,(908) 222-0002,http://nces.ed.gov/transfer.asp?location=www.aimseducation.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Two but less than 4 years certificate",Suburb: Large,No,476 (all undergraduate),15 to 1
American Educational College,45 Santa Cruz Street, Bayamon, Puerto Rico,00961,(787) 798-1199 x251,http://nces.ed.gov/transfer.asp?location=www.amedcopr.com/,"2-year, Private for-profit","One but less than two years certificate, Two but less than 4 years certificate",City: Midsize,No,288 (all undergraduate),15 to 1
